"cod_provincia","provincia","cod_ncm_6d","ncm_6d","seccion","fob_mundial","complejidad_producto","distancia","potencialidad","ranking_est_conservadora","ranking_est_equilibrada","ranking_est_desafiante"
2,"Ciudad Autónoma de Buenos Aires","010121","Caballos, reproductores de raza pura","Agro, Alimentos y Bebidas",1649751.84,0.8942,0.9717,0.2111,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010129","Caballos, exc. reproductores de raza pura","Agro, Alimentos y Bebidas",2902639.81,0.0937,0.9708,0.0988,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010130","Asnos","Agro, Alimentos y Bebidas",3596.37,0.5287,0.9794,0.0675,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010190","Mulos y burdéganos vivos","Agro, Alimentos y Bebidas",34250.59,0.5778,0.9691,0.1505,28,44,66
2,"Ciudad Autónoma de Buenos Aires","010221","Reprod. bovinos domésticos,de raza pura,preñadas o c/cría al pie","Agro, Alimentos y Bebidas",1180383.01,-0.2995,0.9683,-0.042,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010229","Reproductores bovinos domésticos,preñadas o c/cría al pie,excluidos de raza pura","Agro, Alimentos y Bebidas",7487435,-0.5245,0.9674,-0.1797,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010231","Búfalos,reproductores de raza pura, preñadas o c/cría al pie","Agro, Alimentos y Bebidas",36272.21,-0.0028,0.975,0.0176,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010239","Búfalos,reproductores,preñadas o c/cría al pie,excluidos de raza pura","Agro, Alimentos y Bebidas",153154.14,-0.565,0.9735,-0.0181,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010290","Animales bovinos ncop.","Agro, Alimentos y Bebidas",760945.48,-0.3768,0.9687,-0.0719,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010310","Reproductores de raza pura,de la especie porcina","Agro, Alimentos y Bebidas",295368.05,0.5052,0.9717,0.1026,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010391","Animales porcinos,de peso < a 50 kg.","Agro, Alimentos y Bebidas",1594025.92,0.72,0.975,0.0707,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010392","Animales porcinos,de peso >= a 50 kg.","Agro, Alimentos y Bebidas",2099327.96,0.385,0.9719,-0.0472,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010410","Animales ovinos,reproductores de raza pura,preñadas o c/cría al pie","Agro, Alimentos y Bebidas",1598378.77,-1.0813,0.9746,-0.2989,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010420","Reproductores de raza pura,de la especie caprina","Agro, Alimentos y Bebidas",354015.05,-1.9431,0.9767,-0.3509,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010511","Gallos y gallinas, de líneas puras o híbridas,peso <= a 185 g.,p/reproducción","Agro, Alimentos y Bebidas",1617382.14,-0.7014,0.9684,-0.1948,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010512","Pavos vivos,de peso <= a 185 g.","Agro, Alimentos y Bebidas",184000.34,0.9323,0.972,0.2842,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010513","Patos vivos,de peso <= a 185 g.","Agro, Alimentos y Bebidas",29770.49,1.3749,0.9747,0.3268,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010514","Gansos vivos,de peso <= a 185 g.","Agro, Alimentos y Bebidas",3369.63,0.6683,0.9743,0.2746,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010515","Pintadas vivas,de peso <= a 185 g.","Agro, Alimentos y Bebidas",8519.79,-0.0871,0.9759,0.0684,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010594","Gallos y gallinas vivos,de peso > a 185 g.","Agro, Alimentos y Bebidas",1262615.79,-0.0383,0.9716,-0.0622,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010599","Patos,gansos,pavos y pintadas,de peso > a 185 g.","Agro, Alimentos y Bebidas",260347.61,0.2701,0.9722,0.0765,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010611","Animales mamíferos primates","Agro, Alimentos y Bebidas",296211.46,-1.0603,0.9771,-0.0841,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010612","Animales mamíferos ballenas,delfines,marsopas,manatíes y dugones o dugongos,otarios y focas,leones marinos y morsas","Agro, Alimentos y Bebidas",2107.38,0.0414,0.9771,0.0546,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010613","Camellos","Agro, Alimentos y Bebidas",103968.28,-1.2381,0.9818,-0.0978,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010614","Liebres vivas","Agro, Alimentos y Bebidas",50490.92,0.8655,0.9749,0.152,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010619","Animales mamíferos ncop.","Agro, Alimentos y Bebidas",334496.67,-0.0684,0.9678,-0.0417,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010620","Reptiles vivos incluidas las serpientes y tortugas de mar","Agro, Alimentos y Bebidas",74369.78,-2.0166,0.9694,-0.2371,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010631","Aves de rapiña vivas","Agro, Alimentos y Bebidas",16836.72,-0.6526,0.9714,-0.0896,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010632","Aves psitaciformes incluidos loros, guacamayos,cacatúas y otros papagayos","Agro, Alimentos y Bebidas",31137.65,-1.205,0.9732,-0.3156,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010633","Avestruces p/reproducción","Agro, Alimentos y Bebidas",623.59,-1.2539,0.9796,-0.0474,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010639","Aves vivas ncpo.","Agro, Alimentos y Bebidas",74136.56,-1.3961,0.9706,-0.255,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010641","Abejas","Agro, Alimentos y Bebidas",101561.42,-0.1988,0.9748,-0.0943,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010649","Insectos vivos, excluidas abejas","Agro, Alimentos y Bebidas",239229.38,-0.3625,0.9701,-0.091,0,0,0
2,"Ciudad Autónoma de Buenos Aires","010690","Animales vivos ncop.","Agro, Alimentos y Bebidas",309591.68,-0.3538,0.9706,-0.0864,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020110","Carne bovina,en reses o medias reses fresca o refrigerada","Agro, Alimentos y Bebidas",2179662.61,-0.1554,0.97,-0.073,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020120","Cuartos delanteros de carne bovina fresca o refrigerada s/deshuesar","Agro, Alimentos y Bebidas",5561409.56,0.1242,0.9689,0.0156,91,0,0
2,"Ciudad Autónoma de Buenos Aires","020130","Carne bovina, deshuesada, fresca o refrigerada","Agro, Alimentos y Bebidas",21408300.72,-0.6319,0.9651,-0.0737,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020210","Carne bovina,en reses o medias reses,congelada","Agro, Alimentos y Bebidas",139488.03,-0.3807,0.9701,-0.211,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020220","Cuartos del. carne bovina congelada, s/deshuesar","Agro, Alimentos y Bebidas",2828058,-0.8997,0.9643,-0.1384,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020230","Carne bovina, deshuesada, congelada","Agro, Alimentos y Bebidas",29578274.64,-1.1661,0.9647,-0.1681,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020311","Carne porcina,en reses o medias reses,fresca o refrigerada","Agro, Alimentos y Bebidas",2404967.83,0.725,0.9728,0.1346,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020312","Jamones,paletas y sus trozos,s/deshuesar,frescos o refrigerados","Agro, Alimentos y Bebidas",3794492.78,1.3032,0.9747,0.3468,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020319","Carne de la especie porcina,fresca o refrigerada,ncop.","Agro, Alimentos y Bebidas",10254232.98,1.066,0.973,0.2808,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020321","Carne porcina congelada, res o media res","Agro, Alimentos y Bebidas",329069.86,0.098,0.9714,-0.0358,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020322","Jamones,paletas y sus trozos,s/deshuesar,congelados","Agro, Alimentos y Bebidas",2635981.11,0.4168,0.9716,0.068,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020329","Carne porcina,congelada,ncop.","Agro, Alimentos y Bebidas",17687729.53,0.7456,0.9713,0.1339,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020410","Reses o medias reses de cordero,frescas o refrigeradas","Agro, Alimentos y Bebidas",1278738.18,-0.9402,0.9707,-0.2416,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020421","Carne ovina,en reses o medias reses,fresca o refrigerada","Agro, Alimentos y Bebidas",322409.12,-1.0678,0.9703,-0.3245,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020422","Cortes s/deshuesar ncop.de carne ovina fresca o refrigerada","Agro, Alimentos y Bebidas",1528305.6,0.5664,0.9681,0.0643,12,39,71
2,"Ciudad Autónoma de Buenos Aires","020423","Carne de la especie ovina,deshuesada,fresca o refrigerada","Agro, Alimentos y Bebidas",683571.5,0.1492,0.9686,0.0127,63,0,0
2,"Ciudad Autónoma de Buenos Aires","020430","Reses o medias reses,de cordero,congeladas","Agro, Alimentos y Bebidas",312368.94,-0.9234,0.9656,-0.1622,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020441","Canales o medias canales, de ovinos, congeladas (exc. corderos)","Agro, Alimentos y Bebidas",463368.92,-1.2312,0.9752,-0.1559,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020442","Cortes de carne ovina s/deshuesar ncop.,congelada","Agro, Alimentos y Bebidas",4295275.13,-1.0676,0.971,-0.063,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020443","Carne ovina, deshuesada, congelada","Agro, Alimentos y Bebidas",1063745.62,-0.1782,0.9717,-0.0482,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020450","Carne caprina","Agro, Alimentos y Bebidas",437689.85,-1.4316,0.973,-0.2194,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020500","Carne caballar/asnal/mular","Agro, Alimentos y Bebidas",377007.43,-0.5051,0.9707,-0.0864,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020610","Despojos bovinos frescos o refrigerados","Agro, Alimentos y Bebidas",1073466.58,-0.5281,0.9673,-0.07,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020630","Despojos de la especie porcina,frescos o refrigerados","Agro, Alimentos y Bebidas",633672.66,1.2479,0.9712,0.3202,44,20,21
2,"Ciudad Autónoma de Buenos Aires","020641","Hígados porcinos congelados","Agro, Alimentos y Bebidas",95310.89,0.3369,0.9716,-0.0284,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020649","Despojos de la especie porcina congelados excluidos hígados","Agro, Alimentos y Bebidas",3849564.5,0.696,0.9718,0.1402,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020680","Despojos ovino/caprino/caballar/asnal/mular, fresco o redrigerado","Agro, Alimentos y Bebidas",69503.26,-0.391,0.9707,-0.0827,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020690","Despojos ovino/caprino/caballar/asnal/mular congelados","Agro, Alimentos y Bebidas",216682.97,-1.307,0.969,-0.2042,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020711","Gallos o gallinas s/trocear,frescos o refrigerados","Agro, Alimentos y Bebidas",1189270.65,0.1946,0.9708,-0.0719,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020712","Gallos/gallinas congelados","Agro, Alimentos y Bebidas",3805621.02,-1.0628,0.9724,-0.1613,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020713","Trozos y despojos de gallos o gallinas,frescos o refrigerados","Agro, Alimentos y Bebidas",6059423.09,0.3569,0.9723,0.0314,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020714","Trozos y despojos de gallos o gallinas,congelados","Agro, Alimentos y Bebidas",15446317.03,-0.1409,0.9739,-0.0715,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020724","Pavos s/trocear,frescos o refrigerados","Agro, Alimentos y Bebidas",51102.15,0.8418,0.974,0.1902,0,0,0
2,"Ciudad Autónoma de Buenos Aires","020725","Pavos s/trocear,congelados","Agro, Alimentos y Bebidas",94026.14,0.4768,0.9749,0.0743,0,0,0
